,R_INTERNATIONAL_MIG_2019,Unemployment_rate_2020,PCT_COLL_4_2015_19,PCT_COLL_1TO3_2000,PCT_HSD_Only_2000,R_NET_MIG_2019,Med_HH_Income_Percent_of_State_Total_2019,GQ_ESTIMATES_2019,N_POP_CHG_2019,INTERNATIONAL_MIG_2019,NET_MIG_2019,HSD_Only_2000,DOMESTIC_MIG_2019,RESIDUAL_2019,Deaths_2019,COLL_4_2000,POP_ESTIMATE_2019,LT_HSD_2015_19,COLL_1TO3_2000,Unemployed_2020,NATURAL_INC_2019,GQ_ESTIMATES_BASE_2010,Employed_2020,LT_HSD_2000,COLL_4_2015_19,HSD_Only_2015_19,COLL_1TO3_2015_19,Civilian_labor_force_2020,CENSUS_2010_POP,PCT_LT_HSD_2000,R_birth_2019,PCT_COLL_1TO3_2015_19,PCT_COLL_4_2000,Economic_typology_2015,R_death_2019,county_name,state_code
183829,-0.1,4.9,19.7,22.8,42.9,0.8,107.5,277,17,-1,14,"5,033",15,-2.0,199,957,"17,894","1,341","2,678",457,5,277,"8,782","3,075","2,498","4,981","3,843","9,239","18,145",26.2,11.4,30.3,8.1,3.0,11.1,Ste. Genevieve County,MO
11304,0.0,7.1,11.4,12.5,37.0,-2.9,78.1,341,-128,0,-48,"4,105",-48,-1.0,243,917,"16,695","2,561","1,386",457,-79,341,"5,971","4,701","1,349","5,160","2,806","6,428","17,056",42.3,9.8,23.6,8.3,0.0,14.5,Rockcastle County,KY
26564,-0.2,4.8,41.8,24.7,31.5,5.6,104.1,"2,960",330,-9,329,"12,353",338,1.0,534,"12,614","58,409","2,636","9,660","1,596",0,"2,410","31,429","4,540","17,463","11,250","10,401","33,025","59,534",11.6,9.2,24.9,32.2,4.0,9.2,Washington County,VT
64573,0.2,4.7,15.4,27.5,40.2,0.4,70.7,137,1,1,2,"1,627",1,-1.0,70,460,"4,991",268,"1,114",119,0,137,"2,398",849,562,"1,640","1,176","2,517","5,269",21.0,14.0,32.3,11.4,1.0,14.0,Big Stone County,MN
274126,0.5,5.8,20.3,24.0,40.3,14.2,152.8,113,330,10,272,"3,095",262,0.0,147,848,"19,351","1,250","1,840",592,58,113,"9,662","1,889","2,636","4,713","4,389","10,254","17,061",24.6,10.7,33.8,11.1,1.0,7.7,Spencer County,KY
83817,0.4,9.1,22.7,28.2,36.5,0.3,80.1,"3,344",53,19,15,"8,521",-4,-1.0,357,"4,452","43,453","2,634","6,568","1,675",39,"3,375","16,740","3,773","6,101","9,702","8,489","18,415","42,798",16.2,9.1,31.5,19.1,4.0,8.2,Mecosta County,MI
285019,1.5,6.5,42.2,26.4,28.6,-0.8,103.5,"4,961",-434,237,-122,"30,873",-359,-8.0,"1,552","36,545","162,436","6,904","28,504","6,010",-304,"5,085","86,211","12,184","50,299","30,810","31,320","92,221","165,676",11.3,7.7,26.2,33.8,0.0,9.5,Middlesex County,CT
159578,0.3,7.1,13.3,25.4,37.3,-10.5,84.4,"4,315",-395,8,-336,"8,623",-344,0.0,379,"1,998","31,782","3,674","5,885",978,-59,"4,298","12,786","6,635","3,124","8,752","7,905","13,764","33,476",28.7,10.0,33.7,8.6,3.0,11.9,Randolph County,IL
177175,0.0,7.6,13.4,22.4,36.7,-1.0,68.2,172,-26,0,-14,"3,750",-14,-1.0,204,"1,006","14,672","1,808","2,291",423,-11,172,"5,167","3,163","1,357","3,889","3,091","5,590","15,205",31.0,13.1,30.5,9.9,0.0,13.9,Choctaw County,OK
199618,4.8,5.3,37.4,25.8,26.7,-7.5,79.0,"7,786",-388,396,-618,"9,946","-1,014",7.0,592,"12,733","81,784","3,444","9,617","1,996",223,"7,764","35,983","4,941","16,465","12,078","12,023","37,979","77,350",13.3,9.9,27.3,34.2,4.0,7.2,Payne County,OK
122027,0.9,7.1,31.6,29.9,30.0,-0.3,100.9,"11,068","2,227",602,-243,"128,169",-845,-29.0,"6,497","100,132","703,011","44,433","127,890","25,742","2,499","11,219","334,471","70,886","149,739","133,888","145,250","360,213","674,158",16.6,12.8,30.7,23.4,0.0,9.3,Jackson County,MO
148827,0.2,6.7,19.9,21.6,37.7,-2.6,84.5,513,-26,5,-79,"5,685",-84,-1.0,289,"1,821","30,725","3,042","3,255","1,009",54,513,"13,995","4,321","4,053","7,685","5,596","15,004","28,545",28.7,11.2,27.5,12.1,4.0,9.4,Caroline County,VA
223293,0.2,5.8,31.5,29.5,33.9,-0.5,122.3,"6,498",261,17,-41,"15,188",-58,1.0,639,"10,338","81,758","4,268","13,225","2,135",301,"6,561","34,611","6,041","17,187","15,417","17,698","36,746","76,227",13.5,11.5,32.4,23.1,4.0,7.8,Leavenworth County,KS
64343,0.1,10.3,22.1,20.8,45.7,-4.5,80.3,"2,093",-616,9,-387,"29,568",-396,-2.0,"1,090","9,778","85,512","5,757","13,488","4,152",-227,"2,271","36,080","11,933","13,731","26,992","15,792","40,232","91,108",18.4,10.1,25.4,15.1,0.0,12.7,Lawrence County,PA
282312,0.2,6.1,26.6,38.0,32.5,6.2,127.9,"2,204","1,281",20,602,"12,464",582,-5.0,533,"7,442","97,238","3,322","14,574","3,187",684,"2,174","49,247","3,869","16,382","17,580","24,348","52,434","88,499",10.1,12.6,39.5,19.4,0.0,5.5,Sherburne County,MN
205709,0.8,6.2,20.2,26.1,43.0,0.4,95.6,985,-34,67,31,"23,853",-36,-6.0,816,"8,579","78,981","4,540","14,458","2,508",-59,"1,100","37,911","8,562","11,526","21,961","18,905","40,419","81,442",15.4,9.6,33.2,15.5,3.0,10.3,Manitowoc County,WI
244924,-0.1,8.8,13.3,17.9,53.0,-5.0,97.1,405,-168,-2,-134,"10,322",-132,0.0,303,"1,775","26,914","2,072","3,489","1,136",-34,405,"11,747","3,874","2,608","9,767","5,204","12,883","28,836",19.9,10.0,26.5,9.1,0.0,11.2,Carroll County,OH
107896,0.5,9.1,11.5,27.3,40.3,7.2,64.5,163,92,6,92,"3,898",86,-1.0,159,991,"12,882","1,271","2,642",498,1,160,"4,946","2,139","1,062","3,402","3,466","5,444","12,765",22.1,12.5,37.7,10.2,2.0,12.4,Shoshone County,ID
26789,0.3,7.5,16.8,22.5,35.7,12.5,89.8,"1,483",483,15,676,"10,513",661,2.0,668,"3,771","54,495","5,570","6,642","1,844",-195,"1,750","22,853","8,529","6,365","14,851","11,208","24,697","51,407",29.0,8.7,29.5,12.8,0.0,12.3,Jefferson County,TN
191857,0.6,9.9,13.3,19.4,46.5,1.8,84.2,391,26,15,42,"7,963",27,-2.0,285,"1,343","23,102","2,907","3,322",843,-14,392,"7,700","4,497","2,153","6,823","4,339","8,543","24,277",26.3,11.7,26.7,7.8,0.0,12.3,Fayette County,IN
84045,0.0,5.0,17.1,21.2,40.1,15.9,120.9,259,315,0,299,"3,539",299,0.0,189,"1,237","18,962","1,477","1,874",432,16,268,"8,273","2,183","2,131","5,214","3,656","8,705","17,869",24.7,10.9,29.3,14.0,0.0,10.1,Pike County,GA
329429,0.3,4.3,25.7,25.1,32.5,26.4,125.0,"2,648","2,738",32,"2,577","14,102","2,545",11.0,864,"7,349","98,915","10,098","10,924","1,900",150,"2,907","42,724","11,081","16,971","20,044","18,829","44,624","82,782",25.5,10.4,28.6,16.9,4.0,8.9,Limestone County,AL
149057,0.5,7.0,23.1,36.0,24.6,-4.2,78.4,"4,436",-489,66,-529,"18,670",-595,4.0,"1,312","14,247","125,922","11,057","27,294","3,627",36,"6,282","48,368","15,563","20,253","21,124","35,205","51,995","131,346",20.5,10.7,40.2,18.8,4.0,10.4,Cochise County,AZ
121797,0.3,7.0,25.2,37.4,27.4,10.7,85.6,"9,982","7,527",115,"3,860","37,714","3,745",31.0,"2,304","27,208","362,924","18,969","51,427","10,099","3,636","8,079","134,459","21,081","53,200","55,003","84,347","144,558","310,235",15.3,16.5,39.9,19.8,0.0,6.4,Bell County,TX
212712,3.8,11.7,35.5,20.9,27.2,-4.2,75.2,"23,214",405,"3,009","-3,331","139,578","-6,340",28.0,"6,457","141,167","798,975","74,374","107,421","43,674","3,708","23,790","330,269","125,404","189,550","149,902","120,755","373,943","783,969",24.4,12.7,22.6,27.5,0.0,8.1,Essex County,NJ
64802,0.5,5.0,25.4,27.5,38.0,-0.6,103.0,"1,548",271,66,-88,"31,091",-154,-5.0,"1,116","14,994","135,692","7,643","22,558","3,602",364,"1,655","68,711","13,282","23,791","32,080","30,097","72,313","134,063",16.2,10.9,32.2,18.3,3.0,8.2,Marathon County,WI
316969,0.9,7.9,16.9,19.6,35.7,3.1,75.4,397,-29,20,70,"5,446",50,0.0,302,"1,778","22,347","2,238","2,993",760,-99,397,"8,877","5,027","2,752","6,712","4,562","9,637","23,956",33.0,9.1,28.0,11.7,0.0,13.5,Fairfield County,SC
65263,0.0,6.5,9.4,16.8,40.9,-4.7,78.4,"2,264",-131,1,-101,"5,470",-102,0.0,229,804,"21,403","3,074","2,252",501,-30,"2,527","7,153","4,845","1,462","7,546","3,488","7,654","21,987",36.2,9.3,22.4,6.0,4.0,10.7,Morgan County,TN
222830,0.1,5.9,23.3,29.8,39.7,2.0,107.9,"1,361",199,8,115,"14,108",107,1.0,519,"5,941","57,532","2,948","10,576","1,843",83,"1,526","29,438","4,904","9,427","13,642","14,453","31,281","56,833",13.8,10.5,35.7,16.7,3.0,9.0,Columbia County,WI
26098,0.9,5.5,22.8,25.3,40.2,2.2,100.2,"3,276",363,92,242,"27,944",150,-3.0,"1,084","9,993","108,277","7,337","17,600","2,984",124,"2,760","51,486","14,023","17,016","26,495","23,878","54,470","107,702",20.2,11.2,32.0,14.4,0.0,10.0,Androscoggin County,ME
108358,0.1,6.4,18.0,29.2,36.4,-1.1,93.1,"1,497",-158,6,-52,"10,700",-58,-2.0,522,"4,296","46,963","3,896","8,600","1,320",-104,"1,504","19,209","5,821","5,975","12,649","10,645","20,529","47,472",19.8,8.9,32.1,14.6,2.0,11.1,Osage County,OK
176944,1.5,6.9,35.4,27.0,31.4,-1.7,102.7,"2,470",-762,263,-299,"39,949",-562,-7.0,"1,838","34,965","180,333","9,482","34,428","7,007",-456,"2,804","95,102","17,963","47,658","40,214","37,265","102,109","189,927",14.1,7.6,27.7,27.5,0.0,10.2,Litchfield County,CT
11535,1.0,8.2,32.5,27.0,33.6,-0.8,98.4,"10,351",-340,533,-428,"121,705",-961,-18.0,"5,734","91,096","541,013","31,386","97,968","22,267",106,"9,967","248,140","51,876","123,423","114,876","110,574","270,407","541,781",14.3,10.8,29.1,25.1,0.0,10.6,Summit County,OH
121568,1.1,8.2,31.0,27.2,29.4,-6.3,83.4,"22,658","-1,243","1,072","-5,942","174,794","-7,014",-16.0,"8,226","140,460","945,726","73,772","161,719","37,937","4,715","24,490","425,483","117,414","195,028","178,661","182,341","463,420","947,735",19.8,13.7,29.0,23.6,0.0,8.7,Milwaukee County,WI
83586,0.6,7.1,41.4,30.2,28.6,4.4,116.3,"2,311","1,482",181,"1,354","53,593","1,173",-16.0,"2,519","59,261","309,769","10,847","56,513","13,147",144,"2,498","172,832","17,805","92,331","56,498","63,117","185,979","295,223",9.5,8.6,28.3,31.7,0.0,8.2,Rockingham County,NH
192087,0.5,7.8,21.1,25.7,31.4,25.5,96.5,"4,672","1,734",25,"1,384","5,781","1,359",3.0,336,"3,082","55,246","5,002","4,724","1,846",347,"3,703","21,958","4,808","6,034","9,297","8,247","23,804","43,205",26.1,12.6,28.9,16.8,3.0,6.2,Waller County,TX
64112,0.2,8.4,14.4,22.8,32.0,11.0,89.5,358,831,8,559,"7,270",551,-3.0,435,"2,384","51,153","7,205","5,178","1,843",275,384,"19,979","7,919","4,533","12,168","7,525","21,822","44,911",34.8,14.0,23.9,10.5,2.0,8.6,Atascosa County,TX
65033,0.1,6.1,28.2,28.9,30.1,17.5,123.0,"1,888","3,571",21,"2,887","16,756","2,866",2.0,"1,158","10,637","166,847","11,792","16,098","4,933",682,"1,888","75,677","12,188","29,451","31,836","31,410","80,610","131,533",21.9,11.1,30.1,19.1,0.0,7.0,Guadalupe County,TX
108130,1.6,5.5,25.2,30.3,28.4,0.8,85.0,"4,893",740,214,107,"21,472",-107,-6.0,"1,423","16,951","138,034","8,915","22,906","3,608",639,"5,287","62,540","14,167","21,084","25,865","27,654","66,148","131,506",18.8,15.0,33.1,22.5,0.0,10.3,Taylor County,TX
254876,1.5,8.0,22.6,26.5,31.3,5.7,93.6,"2,587",864,233,912,"29,677",679,-6.0,"1,713","16,126","159,551","15,391","25,075","6,220",-42,"2,408","71,632","23,869","24,663","32,708","36,293","77,852","154,358",25.2,10.5,33.3,17.0,3.0,10.8,Catawba County,NC
299844,5.0,7.9,47.9,21.0,23.5,-3.5,122.9,"19,524",-639,"4,737","-3,343","140,262","-8,080",61.0,"6,960","237,674","943,332","64,195","125,200","37,044","2,643","19,168","429,164","93,235","308,399","138,177","132,514","466,208","916,829",15.6,10.2,20.6,39.9,0.0,7.4,Fairfield County,CT
309362,-0.2,7.9,18.5,36.4,35.2,2.2,108.0,452,109,-8,114,"10,101",122,-1.0,503,"4,024","52,354","3,192","10,451","1,906",-4,499,"22,155","4,149","6,788","12,441","14,335","24,061","49,351",14.4,9.5,39.0,14.0,0.0,9.6,Columbia County,OR
322665,-0.4,8.3,25.0,26.8,41.6,-0.8,90.3,167,-96,-9,-17,"6,505",-8,-4.0,240,"2,378","21,235","1,247","4,186",866,-75,167,"9,560","2,556","4,032","5,788","5,064","10,426","22,678",16.4,7.8,31.4,15.2,5.0,11.3,Jo Daviess County,IL
26330,-0.3,7.9,12.3,23.6,37.3,9.2,70.9,"1,422",478,-24,681,"17,833",705,4.0,"1,033","4,507","74,521","9,501","11,261","2,092",-207,"1,407","24,378","14,160","6,432","21,550","14,794","26,470","74,364",29.6,11.1,28.3,9.4,0.0,13.9,Putnam County,FL
329201,0.0,4.6,26.9,29.6,34.7,30.9,134.2,552,774,0,702,"3,226",702,4.0,165,"1,516","23,091","1,148","2,744",573,68,551,"11,930","1,799","4,218","5,412","4,921","12,503","18,429",19.4,10.3,31.3,16.3,0.0,7.3,New Kent County,VA
292165,0.5,9.2,27.2,36.1,24.3,-49.6,72.6,"5,337","-11,153",103,"-11,146","30,853","-11,249",98.0,"2,527","27,674","219,186","15,864","45,732","8,509",-105,"4,942","84,095","22,477","40,149","33,186","58,310","92,604","220,000",17.7,10.8,39.5,21.8,0.0,11.2,Butte County,CA
223061,0.0,5.3,30.5,25.7,32.6,3.4,101.6,11,9,0,11,725,11,0.0,31,463,"3,265",304,571,94,-2,36,"1,688",462,683,489,763,"1,782","3,378",20.8,8.9,34.1,20.8,2.0,9.5,Shackelford County,TX
245158,0.0,5.7,13.7,18.0,39.7,2.7,65.2,101,-12,0,17,"1,842",17,-2.0,91,348,"6,270",933,834,166,-27,101,"2,756","1,615",633,"1,867","1,190","2,922","6,696",34.8,10.2,25.7,7.5,2.0,14.5,Reynolds County,MO
266497,1.0,10.4,32.5,26.4,30.0,-5.8,89.4,"29,999","-6,646","1,220","-7,122","281,264","-8,342",-19.0,"13,527","235,413","1,235,072","89,084","247,509","61,697",495,"29,251","531,193","171,962","284,708","242,977","258,465","592,890","1,280,122",18.4,11.3,29.5,25.1,0.0,10.9,Cuyahoga County,OH
11072,0.6,8.1,20.9,26.4,39.6,-4.9,68.6,"4,223",-241,28,-226,"11,897",-254,0.0,460,"5,156","46,091","2,770","7,916","1,536",-15,"4,584","17,502","5,041","6,268","11,012","9,988","19,038","48,946",16.8,9.6,33.3,17.2,5.0,10.0,Allegany County,NY
122259,0.3,8.4,27.4,30.5,34.4,1.5,110.8,"2,811",47,69,350,"53,726",281,-14.0,"2,481","33,645","230,149","12,724","47,587","10,136",-289,"2,786","110,740","21,219","45,339","52,666","54,780","120,876","230,041",13.6,9.5,33.1,21.5,3.0,10.8,Lake County,OH
27011,2.0,7.3,30.2,23.1,34.2,-2.7,74.3,"9,542",-192,128,-177,"10,790",-305,2.0,494,"8,113","65,327","3,691","7,276","1,993",-17,"9,345","25,214","5,384","11,167","12,994","9,132","27,207","64,757",17.1,7.3,24.7,25.7,4.0,7.6,Athens County,OH
10842,-0.2,8.6,17.8,35.8,30.7,8.6,73.9,"1,226",215,-15,553,"13,727",568,0.0,937,"6,712","64,487","5,316","15,991","2,290",-338,"1,019","24,235","8,237","8,451","14,369","19,443","26,525","63,043",18.4,9.3,40.9,15.0,0.0,14.6,Coos County,OR
244463,0.6,7.1,20.9,32.0,31.5,15.6,95.5,644,753,23,639,"7,296",616,1.0,417,"3,634","41,257","3,766","7,403","1,369",113,686,"18,001","4,815","5,639","8,507","9,113","19,370","38,437",20.8,13.0,33.7,15.7,2.0,10.2,Cooke County,TX
322434,0.5,7.0,17.4,21.3,34.8,6.0,70.0,190,57,5,66,"2,455",61,1.0,117,"1,225","10,953","1,394","1,505",382,-10,190,"5,106","1,867","1,370","2,973","2,146","5,488","11,151",26.5,9.8,27.2,17.4,5.0,10.7,Essex County,VA
122722,0.2,7.7,18.7,35.7,28.7,9.5,74.1,908,217,9,513,"10,087",504,1.0,811,"4,870","54,018","5,378","12,539","1,621",-297,917,"19,387","7,654","7,368","10,955","15,629","21,008","53,597",21.8,9.5,39.7,13.9,5.0,15.0,Gila County,AZ
63419,-0.4,4.8,12.4,31.6,36.8,-9.9,128.4,16,-15,-2,-55,"1,318",-53,1.0,37,388,"5,532",453,"1,131",150,39,16,"2,999",744,480,"1,471","1,467","3,149","5,775",20.8,13.7,37.9,10.8,2.0,6.7,Lander County,NV
273896,2.0,9.0,41.6,24.1,33.9,-0.1,102.1,"34,966","-1,236","2,392",-151,"301,774","-2,543",-58.0,"13,695","252,583","1,216,045","47,938","214,978","57,367","-1,027","35,054","578,590","121,836","367,979","238,315","229,318","635,957","1,223,348",13.7,10.4,26.0,28.3,0.0,11.3,Allegheny County,PA
277924,0.7,4.2,19.4,25.0,30.5,3.8,94.5,"1,045",604,65,368,"16,758",303,-4.0,"1,155","7,639","96,774","11,761","13,719","1,845",240,"1,047","42,430","16,845","12,387","19,920","19,887","44,275","93,019",30.6,14.5,31.1,13.9,3.0,12.0,Marshall County,AL
343620,1.9,5.4,24.8,27.0,31.4,-3.9,95.1,"1,524",8,55,-113,"4,766",-168,0.0,277,"3,457","29,003","2,095","4,087",822,121,"1,516","14,388","2,846","4,207","5,284","5,386","15,210","27,469",18.8,13.7,31.7,22.8,2.0,9.6,Custer County,OK
191398,0.4,5.4,27.7,27.0,38.4,3.6,86.2,"7,645",331,62,553,"36,639",491,-6.0,"1,594","19,406","152,148","8,650","25,800","4,007",-216,"7,318","70,710","13,660","29,900","36,204","33,134","74,717","153,923",14.3,9.1,30.7,20.3,0.0,10.5,Penobscot County,ME
84507,3.2,8.0,35.0,24.6,30.8,-3.3,88.3,"28,536","-2,214","2,740","-2,858","169,936","-5,598",19.0,"7,887","152,433","854,757","59,146","135,536","36,502",625,"29,198","420,669","93,737","209,002","183,255","145,797","457,171","862,477",17.0,9.9,24.4,27.6,0.0,9.2,New Haven County,CT
27444,0.0,10.5,17.1,34.3,27.2,6.9,70.4,"1,113","1,111",0,542,"9,589",542,3.0,583,"3,637","78,668","8,506","12,068","3,163",566,"1,171","26,879","9,924","8,193","11,333","20,001","30,042","72,155",28.2,14.7,41.6,10.3,4.0,7.5,Yuba County,CA
329771,0.6,8.6,14.5,16.4,39.9,1.2,80.7,216,-36,7,14,"3,293",7,1.0,159,601,"11,663","1,179","1,354",383,-51,213,"4,072","2,999","1,219","3,542","2,439","4,455","11,757",36.4,9.2,29.1,7.3,0.0,13.6,Decatur County,TN
199850,-0.2,5.9,16.2,21.5,39.8,7.4,105.5,720,502,-10,397,"11,176",407,1.0,526,"3,186","53,948","5,934","6,055","1,555",104,617,"24,799","7,691","5,890","15,227","9,348","26,354","49,666",27.4,11.7,25.7,11.3,0.0,9.8,Dickson County,TN
223984,3.7,4.5,26.1,28.7,32.5,-8.8,85.7,901,-109,94,-225,"4,986",-319,1.0,228,"3,290","25,474","1,315","4,413",645,115,"1,092","13,719","2,666","4,291","5,205","5,617","14,364","25,857",17.4,13.4,34.2,21.4,0.0,8.9,Lyon County,MN
63186,0.3,5.9,17.5,24.3,41.7,6.6,111.9,"4,885",342,12,295,"11,097",283,0.0,394,"3,473","44,731","4,125","6,463","1,236",47,"5,238","19,598","5,582","5,527","13,160","8,839","20,834","43,435",21.0,9.9,27.9,13.0,0.0,8.8,Madison County,OH
262950,-0.2,5.3,16.3,19.6,42.7,-7.4,78.3,559,-261,-6,-286,"10,984",-280,-3.0,454,"2,742","38,280","3,955","5,036","1,058",28,559,"18,814","6,987","4,287","10,948","7,115","19,872","39,191",27.1,12.5,27.0,10.6,0.0,11.8,Scott County,MO
296093,0.5,6.5,15.8,15.6,43.2,14.6,94.5,152,238,7,213,"3,666",206,0.0,155,716,"14,678","1,568","1,320",423,25,164,"6,083","2,784","1,602","4,620","2,349","6,506","13,801",32.8,12.4,23.2,8.4,0.0,10.6,Cannon County,TN
148136,2.0,6.3,35.8,29.5,30.4,5.7,91.0,"8,802",836,259,743,"21,412",484,2.0,"1,072","18,592","130,633","6,097","20,723","4,610",91,"8,421","68,613","9,592","30,194","23,313","24,844","73,223","123,143",13.6,8.9,29.4,26.4,4.0,8.2,Strafford County,NH
122954,0.4,7.3,15.7,21.1,29.0,-0.9,85.7,"1,126",379,41,-89,"15,259",-130,0.0,837,"6,748","104,628","20,504","11,107","3,138",468,"1,002","40,137","19,456","10,556","19,772","16,324","43,275","102,599",37.0,12.5,24.3,12.8,3.0,8.0,Whitfield County,GA
308903,0.8,10.4,27.1,26.1,32.6,-5.2,69.9,"14,610","-2,016",367,"-2,453","96,474","-2,820",1.0,"4,536","60,554","466,372","45,075","77,346","22,887",436,"14,926","197,372","61,463","86,136","97,330","88,909","220,259","463,490",20.8,10.6,28.0,20.5,0.0,9.7,Hampden County,MA
212257,0.1,8.1,21.4,29.7,36.4,-3.3,91.8,526,-138,5,-167,"12,114",-172,-1.0,495,"5,660","50,643","3,475","9,898","1,962",30,525,"22,199","5,645","7,624","11,891","12,579","24,161","53,497",16.9,10.4,35.4,17.0,0.0,9.8,Ogle County,IL
244234,0.0,4.7,9.2,26.1,38.9,-1.0,86.0,"4,810",-91,0,-16,"3,638",-16,0.0,224,705,"15,237","2,636","2,442",216,-75,"4,778","4,336","2,578","1,032","4,194","3,356","4,552","15,535",27.5,9.7,29.9,7.5,0.0,14.7,Union County,FL
27673,-0.5,6.2,19.7,23.2,33.3,8.8,72.4,318,104,-13,238,"5,910",251,0.0,350,"2,141","27,203","3,028","4,107",786,-134,369,"11,878","5,564","4,002","6,470","6,856","12,664","27,281",31.4,8.0,33.7,12.1,5.0,12.9,Ashe County,NC
245389,0.0,6.4,19.7,22.6,43.2,5.5,124.9,"1,189","1,395",-7,773,"24,408",780,4.0,"1,170","6,461","140,789","13,601","12,781","4,391",618,"1,192","63,874","12,878","18,083","34,956","25,149","68,265","128,026",22.8,12.8,27.4,11.4,0.0,8.4,Livingston Parish,LA
148367,4.4,7.5,38.9,31.8,23.4,-0.5,91.9,"17,551",794,"1,294",-143,"38,118","-1,437",2.0,"2,246","53,690","292,406","12,432","51,760","10,954",935,"18,478","136,006","19,341","68,502","38,750","56,615","146,960","280,895",11.9,10.9,32.1,33.0,4.0,7.7,Ingham County,MI
223754,0.1,6.9,11.9,17.1,37.6,-1.0,81.9,274,-86,2,-17,"4,179",-19,0.0,235,834,"16,832","2,161","1,904",512,-69,244,"6,943","4,196","1,457","4,847","3,823","7,455","16,825",37.8,9.8,31.1,7.5,5.0,13.9,Polk County,TN
255110,0.7,5.9,18.4,31.1,38.3,15.7,59.6,140,101,5,115,"1,967",110,1.0,78,608,"7,393",448,"1,593",216,-15,127,"3,454",962,980,"1,947","1,948","3,670","7,422",18.8,8.6,36.6,11.9,4.0,10.6,Harney County,OR
223523,0.4,5.3,38.2,25.6,32.3,-0.7,97.7,761,-142,21,-38,"13,108",-59,-4.0,539,"12,266","55,062","2,727","10,416","1,483",-100,898,"26,420","4,828","15,879","12,080","10,846","27,903","56,670",11.9,8.0,26.1,30.2,5.0,9.8,Windsor County,VT
309133,0.4,5.7,20.3,29.9,37.7,-2.5,84.4,191,7,6,-38,"3,911",-44,0.0,123,"1,541","15,165",733,"3,095",455,45,191,"7,462","1,819","2,107","3,648","3,901","7,917","15,629",17.5,11.1,37.5,14.9,3.0,8.1,Roseau County,MN
290130,0.8,7.1,26.5,29.3,33.8,-3.6,83.7,"5,834",-299,50,-226,"13,557",-276,1.0,552,"7,715","62,914","4,009","11,731","2,104",-74,"5,758","27,727","7,078","11,289","13,617","13,763","29,831","65,393",17.7,7.6,32.2,19.2,4.0,8.8,Livingston County,NY
96668,5.2,10.6,34.6,29.9,25.8,2.8,106.6,"35,752","11,912","7,258","3,925","148,006","-3,333",-45.0,"8,890","150,009","1,393,452","103,704","171,495","78,496","8,032","33,704","659,050","104,591","312,816","220,379","267,476","737,546","1,145,956",18.2,12.2,29.6,26.1,5.0,6.4,Orange County,FL
314164,0.2,7.5,12.9,22.1,39.1,-0.9,69.1,"1,554",-26,3,-12,"3,819",-15,0.0,170,943,"13,279","1,657","2,153",403,-14,"1,565","4,989","2,847","1,198","3,747","2,688","5,392","14,003",29.2,11.7,28.9,9.7,1.0,12.8,Hughes County,OK
148599,0.1,7.1,18.5,26.4,32.2,-4.0,92.2,"2,833",-726,14,-461,"23,856",-475,-2.0,"1,532","11,265","113,605","12,315","19,576","3,260",-263,"2,933","42,980","19,318","14,620","25,940","26,233","46,240","118,572",26.1,11.1,33.2,15.2,4.0,13.4,Calhoun County,AL
212481,0.2,7.9,21.5,21.4,40.8,7.9,77.1,777,178,6,213,"7,260",207,-2.0,280,"2,872","27,037","2,311","3,806","1,008",-33,818,"11,694","3,876","4,256","7,798","5,400","12,702","27,231",21.8,9.2,27.3,16.1,5.0,10.4,Orleans County,VT
63881,9.7,9.7,46.1,19.9,25.7,-4.0,88.5,"50,977",760,"7,805","-3,229","114,919","-11,034",-20.0,"5,210","144,910","803,907","75,529","89,065","43,170","4,009","47,294","403,388","97,610","254,858","122,379","100,517","446,558","722,023",21.9,11.5,18.2,32.5,0.0,6.5,Suffolk County,MA
244697,0.2,8.4,23.1,34.7,33.3,3.2,78.7,"1,016",79,8,144,"9,958",136,-4.0,502,"5,280","45,130","1,959","10,377","1,860",-61,"1,021","20,240","4,316","7,514","9,765","13,354","22,100","45,058",14.4,9.8,41.0,17.6,5.0,11.1,Itasca County,MN
261166,2.4,7.0,38.1,29.4,27.5,4.0,105.5,"7,541","2,395","1,002","1,652","69,169",650,-15.0,"3,390","75,803","417,025","22,986","74,083","16,792",758,"7,759","223,343","32,853","110,950","75,053","82,179","240,135","400,721",13.0,10.0,28.2,30.1,0.0,8.2,Hillsborough County,NH
293318,12.0,8.0,10.7,15.8,20.6,15.7,61.4,86,98,58,76,393,18,2.0,17,186,"4,886","1,306",302,149,20,86,"1,706","1,029",314,898,418,"1,855","3,476",53.9,7.6,14.2,9.7,4.0,3.5,Hudspeth County,TX
300077,0.3,4.9,16.1,25.6,34.6,9.6,126.3,"1,582",858,23,851,"14,921",828,-1.0,975,"4,791","89,512","9,488","11,036","1,986",8,"1,967","38,146","12,353","9,880","21,849","20,207","40,132","83,593",28.7,11.0,32.9,11.1,0.0,10.9,St. Clair County,AL
122488,-0.3,7.2,22.0,21.7,40.6,-2.3,127.9,556,65,-9,-61,"5,422",-52,-2.0,218,"1,484","26,465","2,262","2,892",972,128,556,"12,530","3,549","3,880","6,564","4,941","13,502","23,788",26.6,13.1,28.0,11.1,0.0,8.2,West Baton Rouge Parish,LA
