,R_INTERNATIONAL_MIG_2019,Unemployment_rate_2020,PCT_COLL_4_2015_19,PCT_COLL_1TO3_2000,PCT_HSD_Only_2000,R_NET_MIG_2019,Med_HH_Income_Percent_of_State_Total_2019,GQ_ESTIMATES_2019,N_POP_CHG_2019,INTERNATIONAL_MIG_2019,NET_MIG_2019,HSD_Only_2000,DOMESTIC_MIG_2019,RESIDUAL_2019,Deaths_2019,COLL_4_2000,POP_ESTIMATE_2019,LT_HSD_2015_19,COLL_1TO3_2000,Unemployed_2020,NATURAL_INC_2019,GQ_ESTIMATES_BASE_2010,Employed_2020,LT_HSD_2000,COLL_4_2015_19,HSD_Only_2015_19,COLL_1TO3_2015_19,Civilian_labor_force_2020,CENSUS_2010_POP,PCT_LT_HSD_2000,R_birth_2019,PCT_COLL_1TO3_2015_19,PCT_COLL_4_2000,Economic_typology_2015,R_death_2019,county_name,state_code
341097,0.0,5.3,23.9,29.2,36.0,-8.3,99.5,54,-147,0,-72,"2,063",-72,-1.0,144,912,"8,553",593,"1,671",208,-74,56,"3,703","1,083","1,467","2,175","1,902","3,911","9,054",18.9,8.1,31.0,15.9,2.0,16.7,Archer County,TX
356298,-0.2,6.4,12.5,25.4,38.2,0.2,88.2,123,-38,-3,3,"3,438",6,-1.0,176,893,"12,259",960,"2,286",347,-40,123,"5,038","2,392","1,090","3,882","2,762","5,385","13,171",26.6,11.1,31.8,9.9,3.0,14.3,Little River County,AR
341262,-0.5,8.1,21.8,29.6,37.0,14.8,78.1,481,326,-13,399,"6,338",412,0.0,303,"3,011","27,036","2,056","5,069",948,-73,476,"10,762","2,727","4,306","5,666","7,711","11,710","25,250",15.9,8.6,39.1,17.6,5.0,11.3,Tillamook County,OR
356366,-0.2,6.4,12.5,25.4,38.2,0.2,88.2,123,-38,-3,3,"3,438",6,-1.0,176,893,"12,259",960,"2,286",347,-40,123,"5,038","2,392","1,090","3,882","2,762","5,385","13,171",26.6,11.1,31.8,9.9,3.0,14.3,Little River County,AR
346971,1.8,4.1,23.3,33.7,26.9,-15.8,88.9,687,-245,45,-389,"4,644",-434,0.0,215,"3,189","24,530","2,396","5,823",439,144,687,"10,327","3,614","3,747","4,328","5,594","10,766","26,446",20.9,14.6,34.8,18.5,4.0,8.7,Jackson County,OK
356459,2.2,7.6,23.4,41.3,26.3,12.6,66.8,9,40,6,34,393,28,-1.0,23,312,"2,711",207,617,108,7,9,"1,320",171,415,437,718,"1,428","2,778",11.5,11.1,40.4,20.9,4.0,8.5,Wayne County,UT
341230,0.0,6.6,24.5,23.6,27.3,-1.9,72.1,"4,817",43,2,-123,"9,053",-125,0.0,604,"7,558","65,204","6,420","7,823","1,842",166,"5,144","26,145","8,741","9,229","10,763","11,221","27,987","64,524",26.3,11.8,29.8,22.8,0.0,9.3,Nacogdoches County,TX
341753,0.0,9.3,10.2,21.0,50.5,-3.2,79.9,188,-73,0,-47,"5,016",-47,-1.0,160,903,"14,508","1,536","2,088",620,-25,188,"6,077","1,927","1,066","4,593","3,268","6,697","15,054",19.4,9.3,31.2,9.1,0.0,11.0,Morgan County,OH
349499,0.2,8.6,18.8,26.4,43.0,-1.1,89.5,"1,524",-200,10,-66,"18,405",-76,-3.0,725,"6,433","59,911","4,070","11,297","2,311",-131,"1,781","24,633","6,635","8,152","17,433","13,638","26,944","61,778",15.5,9.9,31.5,15.0,0.0,12.1,Washington County,OH
341566,0.0,5.1,15.8,17.5,39.2,-4.4,66.9,403,-48,0,-47,"2,564",-47,0.0,128,588,"10,654","1,716","1,147",257,-1,404,"4,745","2,241","1,136","2,800","1,555","5,002","11,000",34.3,11.9,21.6,9.0,3.0,12.0,Evans County,GA
356279,3.5,6.2,29.5,40.6,23.1,8.5,74.4,"2,513",307,38,91,"1,484",53,1.0,24,"1,605","10,907",293,"2,608",124,215,"3,267","1,864",720,"1,510","1,452","1,867","1,988","11,267",11.2,22.2,36.5,25.0,0.0,2.2,Chattahoochee County,GA
358913,-0.1,5.1,12.8,17.5,35.7,-6.3,90.7,323,-121,-2,-135,"4,874",-133,0.0,244,"1,490","21,341","3,160","2,392",405,14,323,"7,592","4,903","1,858","5,806","3,673","7,997","22,185",35.9,12.1,25.3,10.9,3.0,11.4,Yell County,AR
345347,0.1,5.7,12.2,17.5,43.7,-21.0,61.8,"1,854",-192,1,-183,"2,516",-184,1.0,88,401,"8,635","1,138","1,010",156,-10,"2,019","2,581","1,834",775,"2,900","1,553","2,737","9,255",31.8,8.9,24.4,7.0,1.0,10.1,Wilcox County,GA
350750,0.3,7.1,14.8,26.3,29.9,5.1,68.1,"1,578",94,6,120,"4,356",114,0.0,279,"1,620","23,437","3,055","3,834",596,-26,"1,592","7,767","4,754","2,402","5,386","5,358","8,363","23,384",32.6,10.8,33.1,11.1,4.0,11.9,Limestone County,TX
346877,-0.5,6.8,13.8,21.2,35.5,-3.0,62.0,154,-33,-13,-75,"5,773",-62,-2.0,296,"1,984","25,274","3,826","3,456",772,44,172,"10,502","5,053","2,241","5,690","4,478","11,274","25,448",31.1,13.4,27.6,12.2,3.0,11.7,Shelby County,TX
348169,0.0,6.5,18.7,28.7,33.2,3.5,73.5,701,130,2,174,"10,501",172,-2.0,661,"4,568","49,859","5,306","9,061","1,518",-42,713,"21,989","7,482","6,319","11,191","11,005","23,507","49,793",23.7,12.4,32.5,14.5,3.0,13.3,Lamar County,TX
342238,0.4,4.7,13.7,24.0,37.5,29.1,102.5,63,367,5,359,"2,361",354,3.0,138,722,"12,514","1,277","1,513",283,5,66,"5,744","1,702","1,199","3,542","2,716","6,027","10,914",27.0,11.6,31.1,11.5,0.0,11.2,Rains County,TX
348130,0.0,6.5,18.7,28.7,33.2,3.5,73.5,701,130,2,174,"10,501",172,-2.0,661,"4,568","49,859","5,306","9,061","1,518",-42,713,"21,989","7,482","6,319","11,191","11,005","23,507","49,793",23.7,12.4,32.5,14.5,3.0,13.3,Lamar County,TX
346743,0.4,4.8,22.4,23.0,40.8,-1.5,88.5,"1,371",-10,12,-44,"7,471",-56,-2.0,310,"2,856","28,530","2,306","4,213",687,36,"1,368","13,612","3,782","4,300","7,107","5,515","14,299","28,781",20.6,12.1,28.7,15.6,0.0,10.9,Marion County,MO
344794,-0.7,6.7,16.3,22.9,29.4,-6.2,78.0,451,7,-23,-204,"4,968",-181,2.0,264,"2,223","32,750","4,639","3,875",891,209,357,"12,412","5,833","3,253","6,649","5,363","13,303","32,334",34.5,14.4,26.9,13.2,3.0,8.1,Titus County,TX
347487,-0.1,9.0,16.8,26.2,40.3,7.5,97.8,423,495,-3,431,"12,380",434,-2.0,595,"3,999","57,602","4,607","8,050","2,251",66,380,"22,768","6,318","6,446","14,616","12,611","25,019","54,635",20.5,11.5,32.9,13.0,0.0,10.4,Hardin County,TX
